"App name","Date","Time","Duration"
"Instagram","4/18/24","10:36:00 PM","0:00:28"
"Messages","4/18/24","10:35:57 PM","0:00:03"
"Instagram","4/18/24","10:35:26 PM","0:00:30"
"WhatsApp","4/18/24","10:35:12 PM","0:00:14"
"Instagram","4/18/24","10:33:35 PM","0:01:37"
"Vi App","4/18/24","10:32:42 PM","0:00:50"
"Wireless Settings","4/18/24","10:32:35 PM","0:00:04"
"Vi App","4/18/24","10:32:25 PM","0:00:10"
"Truecaller","4/18/24","10:32:16 PM","0:00:01"
"Contacts","4/18/24","10:32:15 PM","0:00:01"
"Screen on (unlocked)","4/18/24","10:32:14 PM","0:00:00"
"Screen off","4/18/24","10:31:38 PM","0:00:36"
"Phone","4/18/24","10:31:29 PM","0:00:10"
"Contacts","4/18/24","10:31:11 PM","0:00:18"
"Truecaller","4/18/24","10:31:08 PM","0:00:02"
"Contacts","4/18/24","10:31:04 PM","0:00:04"
"Phone","4/18/24","10:31:03 PM","0:00:01"
"Screen on (unlocked)","4/18/24","10:31:03 PM","0:00:00"
"Screen off","4/18/24","10:31:00 PM","0:00:03"
"Phone","4/18/24","10:30:57 PM","0:00:03"
"Screen on (unlocked)","4/18/24","10:30:57 PM","0:00:00"
"Screen off","4/18/24","10:30:54 PM","0:00:03"
"Phone","4/18/24","10:30:51 PM","0:00:03"
"Contacts","4/18/24","10:30:11 PM","0:00:39"
"Contacts","4/18/24","10:30:03 PM","0:00:07"
"Vi App","4/18/24","10:28:17 PM","0:01:44"
